Year,China,France,India,Israel,North Korea,Pakistan,South Africa,United Kingdom
1945,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,1
1954,0,0,0,0,0,0,0,5
1955,0,0,0,0,0,0,0,10
1956,0,0,0,0,0,0,0,50
1957,0,0,0,0,0,0,0,58
1958,0,0,0,0,0,0,0,60
1959,0,0,0,0,0,0,0,78
1960,0,0,0,0,0,0,0,105
1961,0,0,0,0,0,0,0,155
1962,0,0,0,0,0,0,0,211
1963,0,0,0,0,0,0,0,256
1964,1,4,0,0,0,0,0,271
1965,5,32,0,0,0,0,0,271
1966,20,36,0,0,0,0,0,281
1967,25,36,0,2,0,0,0,355
1968,35,36,0,4,0,0,0,317
1969,50,36,0,6,0,0,0,306
1970,75,36,0,8,0,0,0,375
1971,100,45,0,11,0,0,0,412
1972,130,70,0,13,0,0,0,423
1973,150,116,0,15,0,0,0,500
1974,170,145,0,17,0,0,0,500
1975,180,188,0,20,0,0,0,500
1976,180,212,0,22,0,0,0,500
1977,180,228,0,24,0,0,0,500
1978,190,235,0,26,0,0,0,500
1979,195,235,0,29,0,0,0,500
1980,205,250,0,31,0,0,0,500
1981,210,274,0,33,0,0,0,500
1982,216,274,0,35,0,0,3,385
1983,218,279,0,38,0,0,3,380
1984,220,280,0,40,0,0,3,350
1985,222,360,0,42,0,0,3,350
1986,224,355,0,44,0,0,3,350
1987,226,420,0,47,0,0,4,350
1988,228,410,0,49,0,0,5,350
1989,230,410,0,51,0,0,6,350
1990,232,505,0,53,0,0,0,350
1991,234,540,0,56,0,0,0,350
1992,234,540,0,58,0,0,0,250
1993,234,525,0,60,0,0,0,250
1994,234,510,0,62,0,0,0,250
1995,234,500,0,63,0,0,0,234
1996,234,450,0,64,0,0,0,203
1997,232,450,0,66,0,0,0,203
1998,232,450,3,68,0,2,0,240
1999,232,450,8,70,0,8,0,240
2000,232,470,13,72,0,14,0,280
2001,235,350,18,74,0,20,0,280
2002,235,350,23,76,0,26,0,280
2003,235,350,28,78,0,32,0,280
2004,235,350,33,80,0,38,0,280
2005,235,350,38,80,0,44,0,280
2006,235,350,43,80,0,50,0,225
2007,235,350,50,80,0,60,0,225
2008,235,300,60,80,0,70,0,225
2009,240,300,70,80,0,80,0,225
2010,240,300,80,80,0,90,0,225
2011,240,300,90,80,0,100,0,225
2012,240,300,100,80,0,110,0,225
2013,250,300,110,80,0,115,0,225
2014,250,300,100,80,0,120,0,220
2015,260,300,110,80,5,125,0,215
2016,260,300,120,80,10,130,0,215
2017,270,300,130,80,15,140,0,215
2018,280,300,140,80,20,150,0,210
2019,290,300,140,80,25,150,0,205
2020,350,290,150,90,35,160,0,195
2021,350,290,160,90,20,165,0,180
2022,350,290,160,90,20,165,0,180